Project,Monitoring Season,Site,Date,Time,Temp C,Specific Cond µS/cm,DO %,DO mg/L,pH,Turbidity FNU,Depth m,Battery V
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,18:00:26,4.616,422.4,134,17.26,9.2,15.89,0.403,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,20:00:00,4.496,423.1,128.8,16.65,9.17,15.69,0.412,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/7/2020,22:00:00,4.542,424.7,130.6,16.86,9.17,15.82,0.426,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,0:00:00,4.366,425.2,127,16.47,9.16,15.3,0.426,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,2:00:00,4.36,426.1,125.6,16.29,9.14,16.43,0.427,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,4:00:00,4.372,429.4,123.7,16.04,9.11,16.92,0.433,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,6:00:00,4.287,429.2,121.8,15.83,9.11,16.36,0.437,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,8:00:00,4.268,429.5,119,15.47,9.08,15.99,0.434,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,10:00:00,4.134,429.7,123.3,16.09,9.12,15.51,0.439,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,12:00:00,4.254,428.5,119.5,15.54,9.11,15.99,0.414,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,14:00:00,5.177,429.2,131.1,16.64,9.16,18.8,0.377,6.16
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,16:00:00,5.801,435.8,139,17.36,9.18,16.32,0.372,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,18:00:00,5.523,436.9,136.8,17.22,9.17,18.48,0.362,6.18
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,20:00:00,5.017,433.7,131,16.7,9.16,17.81,0.37,6.17
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/8/2020,22:00:00,4.715,432.1,128.4,16.49,9.16,19.46,0.365,6.17
